약국명,주소,대표전화,행정구,시작(월),마감(월),시작(화),마감(화),시작(수),마감(수),시작(목),마감(목),시작(금),마감(금),시작(토),마감(토),시작(일),마감(일),시작(공휴일),마감(공휴일),일요일운영,공휴일운영,야간운영(월),야간운영(화),야간운영(수),야간운영(목),야간운영(금),야간운영(토),야간운영(일),야간운영(공휴일)
명일보룡약국,서울특별시 강동구 동남로73길 26 (명일동),02-426-4466,강동구,930,1850,930,1850,930,1850,930,1850,930,1850,930,1450,1000,2100,1000,2230,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
명일약국,서울특별시 강동구 양재대로 1626 202호 (명일동),02-3427-2283,강동구,900,1900,900,1900,900,1900,900,1900,900,1900,900,1400,1000,2100,1000,2230,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
명일정원약국,서울특별시 강동구 구천면로 428 204호 (명일동센트로빌),02-442-0082,강동구,900,1900,900,1900,900,1900,900,1900,900,1900,900,1500,1000,2100,1000,2230,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
명지약국,서울특별시 서대문구 홍은중앙로7길 2 (홍은동),02-394-3960,서대문구,900,1500,900,1500,900,1500,900,1500,900,1500,900,1500,1000,2100,1000,2230,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
명진약국,서울특별시 용산구 신흥로36길 3 (후암동),02-778-4365,용산구,900,2100,900,2100,900,2100,900,2100,900,2100,900,2100,900,2100,1000,2230,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
명진팜약국,서울특별시 강서구 마곡중앙로 161-17 보타닉파크타워Ⅰ 110호 (마곡동),02-6326-7353,강서구,900,2200,900,2200,900,2200,900,2200,900,2200,1100,1800,1100,1800,1000,2230,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
명치약국,서울특별시 마포구 임정로15길 13 (신공덕동),02-712-1678,마포구,900,2030,900,2030,900,2030,900,2030,900,2030,900,2030,1100,1800,1000,2230,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
모건약국,서울특별시 강남구 테헤란로 120 상경빌딩 1층 (역삼동),02-554-5679,강남구,900,2100,900,2100,900,2100,900,2100,900,2000,900,1700,1100,1800,1000,2230,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
모닝온누리약국,서울특별시 서초구 강남대로 341,070-7767-6407,서초구,900,1940,900,1940,900,1940,900,1940,900,1940,900,1430,1100,1800,1000,2230,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
모두온누리약국,서울특별시 관악구 남부순환로 1869 1층 (봉천동),02-875-5955,관악구,900,1400,900,1400,900,1400,900,1400,900,1400,930,1400,1100,1800,1000,2230,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
모드니약국,서울특별시 중구 서소문로 116 유원빌딩 지하1층 (서소문동),02-752-9202,중구,800,2000,800,2000,800,2000,800,2000,800,2000,930,1400,1100,1800,1000,2230,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
모래내백화점약국,서울특별시 서대문구 수색로 38 (남가좌동),02-305-0264,서대문구,900,2100,900,2100,900,2100,900,2100,900,2100,900,2000,1100,1800,1000,2230,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
모래내약국,서울특별시 서대문구 수색로 34 1층 (남가좌동),02-307-1688,서대문구,900,2000,900,2000,900,2000,900,2000,900,2000,900,1900,1000,1900,1000,2230,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
모범약국,서울특별시 서대문구 증가로 129 (남가좌동),02-372-9139,서대문구,900,2200,900,2200,900,2200,900,2200,900,2200,830,2200,1400,2200,1500,2130,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
모범약국,서울특별시 송파구 백제고분로 258 삼전원빌딩 (삼전동),02-415-9273,송파구,900,2100,900,2100,900,2100,900,2100,900,2100,900,2100,1000,1900,1500,2130,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
모스팜약국,서울특별시 구로구 새말로 97 신도림테크노마트 지하1층 BS026호 (구로동),02-2111-1222,구로구,1000,2100,1000,2100,1000,2100,1000,2100,1000,2100,1000,2000,1000,1900,1200,2000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
모아약국,서울특별시 성북구 화랑로11길 23 1층 (하월곡동),02-942-4534,성북구,900,2030,900,2030,900,2030,900,2030,900,2030,900,2000,1000,1900,1200,2000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
모아약국,서울특별시 서초구 성촌길 34 지하1층 (우면동 (주)삼성전자서울R&D캠퍼스),02-576-0212,서초구,830,1830,830,1830,830,1830,830,1830,830,1830,900,2000,1000,1900,1200,2000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
모아약국,서울특별시 양천구 남부순환로59길 9 (신월동),02-2603-0948,양천구,900,2030,900,2030,900,2030,900,2030,900,2030,900,1800,1000,1900,1200,2000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
모주현약국,서울특별시 강동구 고덕로 390 고덕아르테온아파트(상가1동) 2층 204호 (상일동),070-7808-3323,강동구,830,1830,830,1830,830,1830,830,1830,830,1830,830,1300,1000,1900,1200,2000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
목동건강약국,서울특별시 양천구 목동로27길 6 1층 (신정동),02-2692-8880,양천구,900,1800,900,1800,900,1800,900,1800,900,1800,900,1400,1000,1900,900,2000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
목동메디약국,서울특별시 강서구 곰달래로 272 1층 103호 (화곡동),02-2062-0091,강서구,900,2100,900,2100,900,2100,900,2100,900,2100,900,2100,1200,2100,900,2000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
목동벧엘약국,서울특별시 양천구 목동동로 430 (목동),02-2643-7676,양천구,830,2000,830,2000,830,2000,830,2000,830,2000,830,1300,1200,2100,900,2000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
목동세계로약국,서울특별시 양천구 목동동로12길 45,02-2644-4680,양천구,900,2100,900,2100,900,2100,900,2100,900,2100,900,2100,900,2100,900,2100,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
목동세명약국,서울특별시 양천구 목동중앙북로 27,02-2645-7525,양천구,900,2130,900,2130,900,2130,900,2130,900,2130,900,2200,1100,2130,900,2200,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
목동센트럴약국,서울특별시 양천구 신월로 170 1층 (신월동),02-6448-1303,양천구,900,2000,900,2000,900,2000,900,2000,900,2000,900,1500,1100,2130,900,2200,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
목동약국,서울특별시 양천구 오목로 232 112호 (신정동 보성상가),02-2697-0543,양천구,900,1900,900,1900,900,1900,900,1900,900,1900,900,1600,1100,2130,900,2200,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
목동정문약국,서울특별시 양천구 목동동로 435 1층 105호 (목동),02-2061-0214,양천구,800,1900,800,1900,800,1900,800,1900,800,1900,800,1600,1100,2130,900,2200,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
목동즐거운약국,서울특별시 양천구 목동로 210,02-2644-3903,양천구,930,2000,930,2000,930,2000,930,2000,930,2000,930,1600,1100,2130,900,2200,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
목동파라곤약국,서울특별시 양천구 목동서로 155 목동파라곤 지하1층 7호 (목동),02-2648-6584,양천구,830,1900,830,1900,830,1900,830,1900,830,1900,930,1600,1100,2130,900,2200,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
목동한미약국,서울특별시 양천구 목동남로4길 2 118~123호(신정동),02-2649-8367,양천구,830,2000,830,2000,830,2000,830,2000,830,2000,830,1800,1100,2130,900,2200,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
목동행복한약국,서울특별시 양천구 목동동로 309 지하1층 (목동),02-6952-5777,양천구,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
목화약국,서울특별시 강남구 양재대로55길 11 1층 (일원동),02-2226-2268,강남구,900,1930,900,1930,900,1930,900,1900,900,1900,900,1700,1000,2200,1000,2200,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
목화약국,서울특별시 강서구 등촌로5길 5 (화곡동),02-2646-1412,강서구,900,2100,900,2100,900,2100,900,2100,900,2100,900,1900,1000,2200,1000,2200,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
무궁화약국,서울특별시 노원구 한글비석로 77 한성여객(주) (하계동),02-971-0072,노원구,900,2200,900,2200,900,2200,900,2200,900,2200,900,2200,900,2200,900,2200,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
무릉약국,서울특별시 중구 창경궁로1길 38 무릉약국 (충무로4가),02-2268-9443,중구,900,2100,900,2100,900,2100,900,2100,900,2100,900,1900,900,2200,900,2200,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
무림약국,서울특별시 금천구 시흥대로 406 (독산동),02-858-7138,금천구,900,2100,900,2100,900,2100,900,2100,900,2100,900,2100,900,2200,900,2200,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
목원약국,서울특별시 노원구 상계로37길 29 (상계동),02-937-4428,노원구,830,2200,830,2200,830,2200,830,2200,830,2200,830,2200,1000,2200,900,2000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
무악메디칼약국,서울특별시 서대문구 연희로 407 연희8빌딩 1층 (홍은동),02-723-3017,서대문구,900,2000,900,2000,900,2000,900,2000,900,2000,900,1430,900,2200,900,2200,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
무지개약국,서울특별시 영등포구 선유로 76 동국메뜨리앙 3층 305호 (문래동3가),02-3280-2388,영등포구,900,1900,900,1900,900,1900,900,1600,900,1900,900,1500,900,2200,900,2200,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
무지개약국,서울특별시 광진구 뚝섬로 498-1 AB동 1층 (자양동),02-462-8604,광진구,900,2200,900,2200,900,2200,900,2200,900,2200,900,2200,900,2200,900,2200,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
무지개약국,서울특별시 강동구 진황도로61길 42 104호 (둔촌동 둔촌동주상복합),02-483-4649,강동구,840,1930,840,1930,840,1930,840,1930,840,1930,840,1200,900,2200,900,2200,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
무지개약국,서울특별시 양천구 등촌로 214 (목동),02-2643-5511,양천구,830,1900,830,1900,830,1900,830,1900,830,1900,830,1600,1030,1430,900,2200,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
무지개온누리약국,서울특별시 도봉구 도봉로 471  (쌍문동),02-991-8427,도봉구,830,2000,830,2000,830,2000,830,2000,830,2000,830,2000,1030,1430,900,2200,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
무지개온누리약국,서울특별시 노원구 화랑로 325 (월계동),02-909-0889,노원구,830,2030,830,2030,830,2030,830,2030,830,2030,830,1800,1030,1430,900,2200,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
문래건강한약국,서울특별시 영등포구 영등포로 118 성지빌딩 1층 12호 (당산동2가),02-2633-0696,영등포구,900,2000,900,2000,900,2000,900,2000,900,2000,900,1500,1030,1430,900,2200,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
문래스타약국,서울특별시 영등포구 선유로9길 10 SK V1 Center 1층 105호 (문래동6가),02-2633-8889,영등포구,900,2000,900,2000,900,2000,900,2000,900,2000,900,1600,1030,1430,900,2200,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
문박사약국,서울특별시 관악구 양녕로 34 (봉천동),02-873-8652,관악구,900,2000,900,2000,900,2000,900,2000,900,2000,900,2000,1030,1430,900,2200,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
문성당약국,서울특별시 금천구 독산로64길 39,02-804-5360,금천구,900,2100,900,2100,900,2100,900,2100,900,2100,900,2100,900,2100,900,2100,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
문약국,서울특별시 용산구 독서당로 67,02-793-2296,용산구,900,2200,900,2200,900,2200,900,2200,900,2200,900,2100,900,2100,900,2100,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
문정건강약국,서울특별시 송파구 송파대로 98 선도빌딩 1층 (문정동),02-404-6190,송파구,900,1900,900,1900,900,1900,900,1900,900,1900,900,1400,900,2100,900,2100,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
문정약국,서울특별시 송파구 동남로4길 25 금천빌딩 (문정동),02-402-1424,송파구,930,2100,930,2100,930,2100,930,2100,930,2100,930,1800,900,2100,900,2100,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
문정온누리약국,서울특별시 송파구 송파대로 167 문정역테라타워 지하1층 G132호 (문정동),02-2054-3551,송파구,900,2000,900,2000,900,2000,900,2000,900,2000,1000,1400,900,2100,900,2100,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
문정우리들약국,서울특별시 송파구 법원로 114 엠스테이트 C-218호 (문정동),02-2283-1522,송파구,900,2100,900,2100,900,2100,900,2100,900,2100,900,1600,1000,1600,1000,1600,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
문정이화약국,서울특별시 송파구 법원로 114 엠스테이트 C동 214호 (문정동),02-2283-1153,송파구,900,2000,900,2000,900,2000,900,2000,900,2000,900,1600,900,1600,900,1600,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
문화약국,서울특별시 양천구 지양로3길 10-1 (신월동),02-2602-5602,양천구,900,2100,900,2100,900,2100,900,2100,900,2100,900,1900,900,1600,900,1600,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
미그린약국,서울특별시 양천구 신월로 341 4층 (신정동),02-6713-9959,양천구,930,1900,930,1900,930,2000,930,1900,930,1900,900,1400,900,1600,900,1600,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
미네랄약국,서울특별시 강남구 학동로 342,02-545-3404,강남구,900,1900,900,1900,900,1900,900,1900,900,1900,900,1300,900,1600,900,1600,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
미도파약국,서울특별시 은평구 응암로 264 서울빌딩 1층 (응암동),02-308-8887,은평구,900,2130,900,2130,900,2130,900,2130,900,2130,900,2100,900,1600,900,1600,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
미동약국,서울특별시 강서구 월정로30길 52 (화곡동),02-2602-4054,강서구,930,2200,930,2200,930,2200,930,2200,930,2200,930,2200,930,2200,900,1600,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
미라클약국,서울특별시 양천구 목동동로 379 113호(목동광장상가),02-2649-6282,양천구,900,2000,900,2000,900,2000,900,2000,900,2000,900,1700,930,2200,900,1600,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
미라클약국,서울특별시 용산구 한강대로 259 고려에이트리움 1층 109호 (갈월동),070-7723-6050,용산구,900,2000,900,2000,900,2000,900,2000,900,2000,900,1500,930,2200,900,1600,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
미래로약국,서울특별시 동대문구 이문로 114 한국외국어대학교 글로벌홀 1층 (이문동),02-966-4588,동대문구,900,2000,900,2000,900,2000,900,2000,900,2000,900,1600,930,2200,900,1600,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
미래아산약국,서울특별시 송파구 강동대로 63 1층 (풍납동),02-473-0777,송파구,900,1900,900,1900,900,1900,900,1900,900,1900,900,1600,930,2200,900,1600,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
미래약국,서울특별시 노원구 상계로5길 32 금호프라자 110호 111호 (상계동),02-933-8139,노원구,900,2100,900,2100,900,2100,900,2100,900,2100,900,1800,930,2200,1100,1700,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
미래약국,서울특별시 서초구 고무래로 90-7 서초쇼핑 (서초동),02-537-1878,서초구,830,1900,830,1900,830,1900,830,1900,830,1900,830,1700,930,2200,1100,1700,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
미래약국,서울특별시 송파구 오금로 516 삼정빌딩 1층 (거여동),02-401-5565,송파구,900,1800,900,1800,900,1800,900,1800,900,1800,900,1400,930,2200,1100,1700,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
미래약국,서울특별시 구로구 구로동로 145-6 B동 12층 (구로동),02-852-0270,구로구,830,1830,830,1830,830,1830,830,1830,830,1830,900,1400,930,2200,1100,1700,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
미래약국,서울특별시 강서구 양천로14길 23 효성빌딩 1층 101호 (방화동),02-2662-0377,강서구,900,2000,900,2000,900,2000,900,2000,900,2000,900,1800,930,2200,1100,1700,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
미래약국,서울특별시 성북구 고려대로 85 (안암동5가),02-924-5264,성북구,845,1840,845,1840,845,1840,845,1840,845,1840,900,1300,930,2200,1100,1700,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
미래약국,서울특별시 중랑구 겸재로 113 (면목동),02-496-3737,중랑구,900,2100,900,2100,900,2100,900,2100,900,2100,900,2100,930,2200,1100,1700,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
명인약국,서울특별시 동작구 여의대방로 126 (신대방동),02-821-0383,동작구,900,2200,900,2200,900,2200,900,2200,900,2200,900,2200,1400,2000,1530,2130,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
미래약국,서울특별시 영등포구 국제금융로8길 11 306호(여의도동에르트빌딩),02-784-5480,영등포구,900,2000,900,2000,900,2000,900,2000,900,2000,900,1600,930,2200,1100,1700,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
미래약국,서울특별시 광진구 군자로 85 (군자동),02-3409-4828,광진구,900,1930,900,1930,900,1930,900,1930,900,1930,900,1700,930,2200,1100,1700,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
미래팜약국,서울특별시 노원구 노해로 492 프린스빌딩,02-932-9595,노원구,900,1900,900,1900,900,1900,900,1900,900,1900,900,1700,930,2200,1100,1700,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
미래팜약국,서울특별시 금천구 독산로 290,02-862-6688,금천구,900,2000,900,2000,900,2000,900,2000,900,2000,900,1500,930,2200,1100,1700,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
미르약국,서울특별시 은평구 백련산로 84 211호 (응암동 백련산 힐스테이트 2차(211동상가)),02-303-7933,은평구,900,1900,900,1900,900,1900,900,1900,900,1900,900,1400,930,2200,1100,1700,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
미르약국,서울특별시 송파구 토성로 65 2층 202-2호 (풍납동 태양상가 202-2호),02-486-7517,송파구,900,1930,900,1930,900,1930,900,1930,900,1930,900,1500,930,2200,1100,1700,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
미리암약국,서울특별시 강동구 동남로81길 76  (고덕동),02-3427-3108,강동구,830,2030,830,2030,830,2030,830,2030,830,2030,830,1800,930,2200,1100,1700,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
모당약국,서울특별시 성북구 아리랑로5길 1 1층,02-925-4465,성북구,900,2000,900,2000,900,2000,900,2000,900,2000,900,2000,1600,2000,1600,2000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
미문약국,서울특별시 구로구 구로동로 77 동해빌딩 지하1층 (구로동),02-838-7020,구로구,900,1900,900,1900,900,1900,900,1900,900,1900,900,1400,930,2200,1100,1700,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
미성송파약국,서울특별시 송파구 송파대로 374 (송파동),02-420-2419,송파구,900,2100,900,2100,900,2100,900,2100,900,2100,900,1800,930,2200,1100,1700,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
미성약국,서울특별시 강남구 압구정로 113-22  (압구정동),02-544-8275,강남구,1000,2100,1000,2100,1000,2100,1000,2100,1000,2100,1400,2000,930,2200,1100,1700,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
미션약국,서울특별시 노원구 동일로 1533 102호 (상계동 백산빌딩),02-930-4785,노원구,900,2100,900,2100,900,2100,900,2100,900,2100,900,1500,930,2200,1100,1700,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
미소가득약국,서울특별시 동대문구 장안벚꽃로 107 상가1동 2층 215-1호 (장안동 장안현대홈타운),02-3390-4513,동대문구,900,1900,900,1900,900,1900,900,1300,900,1900,900,1400,930,2200,1100,1700,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
미소가득한약국,서울특별시 마포구 월드컵북로 396,02-2636-6667,마포구,900,2200,900,2200,900,2200,900,2200,900,2200,900,2200,1000,2000,1000,2000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
미소담약국,서울특별시 성북구 보국문로 49 1층 (정릉동),02-6349-2589,성북구,900,1900,900,1900,900,1900,900,1900,900,1900,900,1530,1000,2000,1000,2000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
미소담한약국,서울특별시 동대문구 고산자로 473 (제기동),02-701-8575,동대문구,930,1900,930,1900,930,1900,930,1900,930,1900,930,1500,1000,2000,1000,2000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
미소드림약국,서울특별시 성북구 동소문로 10 1층 (동소문동2가 카프리빌딩),02-747-6464,성북구,800,2000,800,2000,800,2000,800,2000,800,2000,800,1500,1000,2000,1000,2000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
미소로약국,서울특별시 영등포구 영신로 238,02-3667-5066,영등포구,900,2100,900,2100,900,2100,900,2100,900,2100,900,1600,1000,2000,1000,2000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
미소산약국,서울특별시 강남구 테헤란로 503 하이브로빌딩 2층 일부호 (삼성동),02-508-0918,강남구,900,1900,900,1900,900,1900,900,1900,900,1900,900,1330,1000,2000,1000,2000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
미소약국,서울특별시 마포구 마포대로 68,02-6352-5335,마포구,830,1900,830,1900,830,1900,830,1900,830,1900,830,1600,1000,2000,1000,2000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
미소약국,서울특별시 강남구 테헤란로 514 5층 (대치동삼흥제2빌딩),070-4127-1351,강남구,900,1900,900,1900,900,1900,900,1900,900,1900,900,1400,1000,2000,1000,2000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
미소약국,서울특별시 영등포구 문래로 83 (문래동3가),02-2672-9015,영등포구,900,1900,900,1900,900,1900,900,1900,900,1900,900,1600,1000,2000,1000,2000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
미소약국,서울특별시 양천구 곰달래로5길 17 신월프라자 1층 (신월동),02-2065-7737,양천구,900,2000,900,2000,900,2000,900,2000,900,2000,900,1800,900,1800,900,1800,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
미소약국,서울특별시 동대문구 전농로 128 1층 (전농동),02-2217-4365,동대문구,830,1800,830,1800,830,1800,830,1800,830,1800,830,1500,900,1800,900,1800,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
미소약국,서울특별시 도봉구 도봉로 678 홈플러스데스코㈜방학점 지하2층 (방학동),02-954-3119,도봉구,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
미소약국,서울특별시 서대문구 통일로 402-1 1층 (홍제동),02-6487-6110,서대문구,930,1930,930,1930,930,1930,930,1930,930,1930,900,1300,1000,2200,1000,2200,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
미소약국,서울특별시 중구 장충단로 201 1층 (장충동1가),02-2277-8808,중구,900,1930,900,1930,900,1930,900,1930,900,1930,900,1700,1000,2200,1000,2200,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
미소약국,서울특별시 중랑구 망우로 412 기성빌딩 2층 (망우동),02-438-8278,중랑구,830,1830,830,1830,830,1830,830,1830,830,1830,830,1400,1000,2200,1000,2200,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
